Talker,Listener,Chat Time (Seconds)
Reese,Katelynn,43
Reese,Oliver,710
Reese,Angelina,255
Reese,Jasmin,281
Reese,Shannon,268
Jasmin,Katelynn,43
Jasmin,Riley,33
Jasmin,Erin,496
Jasmin,Reese,40
Jasmin,Shannon,268
Erin,Riley,33
Erin,Natalie,353
Erin,Jasmin,281
Erin,Dulce,231
Molly,Aubrie,52
Molly,Fernanda,519
Molly,Miley,1205
Molly,Noel,62
Noel,Natasha,1311
Noel,Aubrie,52
Noel,Miley,1205
Noel,Hope,125
Noel,Molly,164
Noel,Marisol,683
Hope,Natasha,1311
Hope,Noel,62
Hope,Marisol,683
Natalie,Damien,468
Natalie,Erin,496
Natalie,Janelle,223
Natalie,Dulce,231
Damien,Christian,352
Damien,Natalie,353
Damien,Greyson,234
Damien,Janelle,223
Christian,Keegan,212
Christian,Mackenzie,271
Christian,Damien,468
Christian,Greyson,234
Mackenzie,Keegan,212
Mackenzie,Alison,684
Mackenzie,Christian,352
Mackenzie,Aurora,129
Alison,Eli,1063
Alison,Mackenzie,271
Alison,Aurora,129
Alison,Titus,114
Angelina,Chad,1278
Angelina,Lilliana,44
Angelina,Oliver,710
Angelina,Riley,33
Angelina,Reese,40
Riley,Chad,1278
Riley,Angelina,255
Riley,Erin,496
Riley,Jasmin,281
Oliver,Keaton,46
Oliver,Lilliana,44
Oliver,Emilio,534
Oliver,Angelina,255
Oliver,Reese,40
Emilio,Keaton,46
Emilio,Javier,137
Emilio,Giselle,296
Emilio,Jesse,19
Emilio,Oliver,710
Miley,Aubrie,52
Miley,Brynn,103
Miley,Noel,62
Miley,Molly,164
Stephanie,Itzel,431
Stephanie,Shane,427
Stephanie,Bianca,2571
Stephanie,Hayley,48
Jonas,Jayla,822
Jonas,Sadie,765
Jonas,Stephen,42
Jonas,Layla,902
Jonas,Lana,38
Jonas,Jackson,945
Layla,Jayla,822
Layla,Stephen,42
Layla,Jonas,43
Layla,Israel,44
Stephen,Caitlin,87
Stephen,Jayla,822
Stephen,Layla,902
Stephen,Jonas,43
Stephen,Lana,38
Stephen,Alan,842
Ruth,Keith,1270
Ruth,Jayla,822
Ruth,Itzel,431
Ruth,Sofia,32
Ruth,Aden,416
Ruth,Janiyah,674
Ruth,Alyson,51
Itzel,Keith,1270
Itzel,Ruth,51
Itzel,Stephanie,351
Itzel,Janiyah,674
Itzel,Alyson,51
Jesse,Javier,137
Jesse,Lillie,19
Jesse,Giselle,296
Jesse,Emilio,534
Giselle,Zoey,1131
Giselle,Chad,1278
Giselle,Javier,137
Giselle,Jesse,19
Giselle,Emilio,534
Lillie,Jesse,19
Lillie,Max,2048
Lillie,Ian,535
Lillie,Nora,288
Javier,Shaun,179
Javier,Giselle,296
Javier,Jesse,19
Javier,Emilio,534
Shaun,Alexis,754
Shaun,Catherine,120
Shaun,Javier,137
Shaun,Quinn,37
Catherine,Dominick,424
Catherine,Alexis,754
Catherine,Shaun,179
Catherine,Quinn,37
Stella,Colby,37
Stella,Trevor,39
Stella,Rylan,453
Stella,Aaron,35
Stella,Dennis,782
Alexis,Miracle,38
Alexis,Trevor,39
Alexis,Douglas,588
Alexis,Catherine,120
Alexis,Shaun,179
Alexis,Quinn,37
Paris,Lillian,138
Paris,Emiliano,134
Paris,Esteban,56
Paris,Easton,140
Paris,Wendy,700
Dominick,Alec,1195
Dominick,Douglas,588
Dominick,Rachael,33
Dominick,Catherine,120
Rachael,Alec,1195
Rachael,Douglas,588
Rachael,Dominick,424
Rachael,Ariel,1199
Rachael,Audrey,584
Douglas,Miracle,38
Douglas,Trevor,39
Douglas,Alec,1195
Douglas,Rachael,33
Douglas,Dominick,424
Douglas,Alexis,754
Alec,Tristan,39
Alec,Uriel,38
Alec,Kellen,342
Alec,Douglas,588
Alec,Rachael,33
Alec,Dominick,424
Tyler,Andy,638
Tyler,Rocco,647
Tyler,Phoenix,38
Tyler,Maya,43
Tyler,Sage,450
Tyler,Brandon,36
Sage,Aliyah,649
Sage,Rocco,647
Sage,Colby,37
Sage,Phoenix,38
Sage,Lauryn,484
Sage,Tyler,474
Lauryn,Aliyah,649
Lauryn,Colby,37
Lauryn,Sage,450
Lauryn,Aaron,35
Lauryn,Skylar,40
Lauryn,Delilah,674
Lillian,Kaydence,625
Lillian,Paris,124
Lillian,Emiliano,134
Lillian,Esteban,56
Parker,Mario,251
Parker,Ty,681
Parker,Maria,436
Parker,Danny,512
Parker,Cesar,523
Parker,Delilah,674
Angelo,Kathleen,54
Angelo,Angelica,40
Angelo,Rose,1018
Angelo,Jane,119
Ramon,Taylor,300
Ramon,Alexandra,33
Ramon,Luna,467
Alexandra,Kate,651
Alexandra,Hudson,311
Alexandra,Taylor,300
Alexandra,Lena,26
Alexandra,Ramon,643
Phoebe,Macy,1026
Phoebe,Claudia,263
Phoebe,Sienna,444
Giovanni,Kameron,1026
Giovanni,Cash,913
Giovanni,Lena,26
Lena,Kate,651
Lena,Hudson,311
Lena,Giovanni,121
Lena,Alexandra,33
Ricardo,Gracie,1207
Ricardo,Drake,37
Ricardo,Andy,638
Ricardo,Judah,1288
Ricardo,Andrea,498
Ricardo,Lincoln,44
Danny,Mario,251
Danny,Ty,681
Danny,Ivan,1195
Danny,Parker,44
Danny,Patricia,47
Taylor,Kimora,313
Taylor,Alexandra,33
Taylor,Ramon,643
Claudia,Abraham,1003
Claudia,Phoebe,116
Claudia,Sienna,444
Guadalupe,Andrew,103
Guadalupe,Sandra,67
Guadalupe,Genesis,71
Guadalupe,Weston,819
Genesis,Chase,40
Genesis,Leonel,777
Genesis,Andrew,103
Genesis,Guadalupe,39
Sandra,Kameron,1026
Sandra,Chase,40
Sandra,Guadalupe,39
Sandra,Weston,819
Kimora,Khloe,405
Kimora,Taylor,300
Andrew,Brittany,306
Andrew,Genesis,71
Andrew,Guadalupe,39
Brittany,Andrew,103
Brittany,Jane,119
Rylan,Colby,37
Rylan,Phoenix,38
Rylan,Saul,493
Rylan,Stella,483
Andrea,Drake,37
Andrea,Andy,638
Andrea,Rocco,647
Andrea,Willow,411
Andrea,Ricardo,525
Angelica,Kaydence,625
Angelica,Perla,54
Angelica,Kathleen,54
Angelica,Angelo,248
Kathleen,Emilia,42
Kathleen,Leonel,777
Kathleen,Angelica,40
Kathleen,Angelo,248
Leonel,Emilia,42
Leonel,Chase,40
Leonel,Kathleen,54
Leonel,Genesis,71
Chase,Kameron,1026
Chase,Leonel,777
Chase,Sandra,67
Chase,Genesis,71
Leland,Aubrie,52
Leland,Alvin,97
Leland,Asher,101
Leland,Orlando,87
Leland,Kiley,293
Asher,Alvin,97
Asher,Leland,1212
Asher,Rose,1018
Asher,Juliet,20
Asher,Paul,102
Alvin,Beau,1138
Alvin,Lindsey,53
Alvin,Asher,101
Alvin,Leland,1212
Alvin,Juliet,20
Lindsey,Beau,1138
Lindsey,Brooklynn,1140
Lindsey,Lia,25
Lindsey,Brynn,103
Lindsey,Alvin,97
Lindsey,Juliet,20
Brynn,Brooklynn,1140
Brynn,Lia,25
Brynn,Lindsey,53
Brynn,Miley,1205
Lia,Brooklynn,1140
Lia,Zane,40
Lia,Brynn,103
Lia,Lindsey,53
Zane,Macy,1026
Zane,Natasha,1311
Zane,Luca,456
Zane,Lia,25
Luca,Macy,1026
Luca,Natasha,1311
Luca,Zane,40
Luca,Olivia,292
Luca,Reed,1150
Kellen,Zoey,1131
Kellen,Tristan,39
Kellen,Bryan,29
Kellen,Uriel,38
Kellen,Alec,1195
Uriel,Jaiden,39
Uriel,Tristan,39
Uriel,Jeffrey,344
Uriel,Peyton,803
Uriel,Kellen,342
Uriel,Alec,1195
Declan,Jaiden,39
Declan,Tristan,39
Declan,William,794
Declan,Ariel,1199
William,Jaiden,39
William,Declan,39
William,Tiffany,322
Alex,Presley,1454
Alex,Kingston,561
Alex,Jamarion,243
Alex,Carl,246
Alex,Peter,317
Jamarion,Kingston,561
Jamarion,Alex,49
Jamarion,Carl,246
Jamarion,Kolton,527
Peyton,Brenden,331
Peyton,Jaiden,39
Peyton,Jeffrey,344
Peyton,Uriel,38
Willow,Maria,436
Willow,Aliyah,649
Willow,Rocco,647
Willow,Andrea,498
Perla,Cash,913
Perla,Kaydence,625
Perla,Emilia,42
Perla,Angelica,40
Emilia,Cash,913
Emilia,Perla,54
Emilia,Leonel,777
Emilia,Kathleen,54
Bryan,Zoey,1131
Bryan,Eli,1063
Bryan,Jeffrey,344
Bryan,Kellen,342
Jeffrey,Jaiden,39
Jeffrey,Eli,1063
Jeffrey,Bryan,29
Jeffrey,Peyton,803
Jeffrey,Uriel,38
Judah,Gracie,1207
Judah,Ricardo,525
Judah,Lincoln,44
Judah,Cesar,523
Judah,Patricia,47
Judah,Harper,1192
Cassandra,Marlee,85
Cassandra,Dane,589
Marlee,Cassandra,269
Marlee,Collin,46
Kylie,Brian,171
Kylie,Marvin,182
Sophie,Emerson,317
Sophie,Lance,739
Sophie,Brian,171
Sophie,Nancy,48
Lyla,Emerson,317
Lyla,Shane,427
Lyla,Carmen,2564
Lyla,Alejandro,49
Jason,London,191
Jason,Megan,1127
Erika,Andre,515
Erika,Sawyer,222
Erika,Milo,59
Erika,Keira,70
Cristian,Gregory,394
Cristian,Skyler,42
Cristian,Milo,59
Leonardo,Kayla,105
Leonardo,Brennan,107
Katelynn,Jasmin,281
Katelynn,Reese,40
Katelynn,Valentina,41
Katelynn,Shannon,268
Katelynn,Fatima,269
Lilliana,Oliver,710
Lilliana,Angelina,255
Lilliana,Reese,40
Lilliana,Jenna,711
Lilliana,Valentina,41
Salvador,Colton,602
Salvador,Izaiah,108
Salvador,Mya,1007
Salvador,Chloe,514
Salvador,Grant,1201
Fernanda,Molly,164
Fernanda,Haylie,96
Fernanda,Reese,443
Fernanda,Gustavo,34
Charlie,Mya,1007
Charlie,Alexandria,1229
Charlie,Porter,372
Keaton,Emilio,534
Keaton,Oliver,710
Keaton,Jenna,711
Keaton,Jacqueline,2050
Keaton,Ian,535
Aubrie,Leland,1212
Aubrie,Miley,1205
Aubrie,Noel,62
Aubrie,Molly,164
Aubrie,Orlando,87
Aubrie,Kiley,293
Keegan,Mackenzie,271
Keegan,Christian,352
Keegan,Jayden,272
Andre,Erika,141
Vivian,Adrian,59
Vivian,Lesly,53
Austin,Destiny,51
Austin,Trent,56
Eric,Randy,45
Eric,Elizabeth,59
Byron,Kiley,293
Byron,Gustavo,34
Byron,Cristopher,371
Byron,Diego,31
Natasha,Macy,1026
Natasha,Luca,456
Natasha,Zane,40
Natasha,Hope,125
Natasha,Noel,62
Natasha,Marisol,683
Eli,Jeffrey,344
Eli,Bryan,29
Eli,Alison,684
Eli,Titus,114
Chad,Zoey,1131
Chad,Giselle,296
Chad,Riley,33
Chad,Angelina,255
Sadie,Solomon,633
Sadie,Jonas,43
Sadie,Lana,38
Sadie,Jackson,945
Jayla,Ruth,51
Jayla,Stephen,42
Jayla,Layla,902
Jayla,Jonas,43
Jayla,Sofia,32
Jayla,Aden,416
Viviana,Brycen,316
Viviana,Keith,1270
Viviana,Samara,747
Viviana,Madyson,42
Saul,Phoenix,38
Saul,Maya,43
Saul,Ruby,388
Saul,Rylan,453
Saul,Hadley,42
Saul,George,799
Ruby,Maya,43
Ruby,Saul,493
Ruby,Hadley,42
Ruby,George,799
Ruby,Eddie,370
Ruby,Olivia,292
Trevor,Miracle,38
Trevor,Douglas,588
Trevor,Alexis,754
Trevor,Stella,483
Trevor,Aaron,35
Trevor,Dennis,782
Maya,Andy,638
Maya,Ruby,388
Maya,Saul,493
Maya,Tyler,474
Maya,Brandon,36
Maya,Hadley,42
Maya,George,799
Phoenix,Rocco,647
Phoenix,Saul,493
Phoenix,Rylan,453
Phoenix,Sage,450
Phoenix,Tyler,474
Colby,Aliyah,649
Colby,Rylan,453
Colby,Lauryn,484
Colby,Sage,450
Colby,Stella,483
Miracle,Ty,681
Miracle,Trevor,39
Miracle,Douglas,588
Miracle,Alexis,754
Miracle,Audrey,584
Miracle,Skylar,40
Lucas,Dayton,322
Lucas,Esteban,56
Lucas,Easton,140
Lucas,Luna,467
Lucas,Fabian,559
Kaydence,Perla,54
Kaydence,Angelica,40
Kaydence,Lillian,138
Rocco,Phoenix,38
Rocco,Willow,411
Rocco,Andrea,498
Rocco,Sage,450
Rocco,Tyler,474
Andy,Drake,37
Andy,Maya,43
Andy,Andrea,498
Andy,Ricardo,525
Andy,Tyler,474
Andy,Brandon,36
Aliyah,Maria,436
Aliyah,Colby,37
Aliyah,Willow,411
Aliyah,Lauryn,484
Aliyah,Sage,450
Drake,Andy,638
Drake,Andrea,498
Drake,Ricardo,525
Drake,Anne,528
Drake,Jillian,636
Maria,Aliyah,649
Maria,Willow,411
Maria,Parker,44
Maria,Cesar,523
Maria,Delilah,674
Gracie,Alondra,50
Gracie,Isabella,1193
Gracie,Theodore,40
Gracie,Judah,1288
Gracie,Ricardo,525
Gracie,Lincoln,44
Abraham,Kimberly,44
Abraham,Laura,1134
Abraham,Claudia,263
Solomon,Sadie,765
Solomon,Claire,756
Keith,Viviana,308
Keith,Itzel,431
Keith,Ruth,51
Keith,Janiyah,674
Keith,Alyson,51
Keith,Samara,747
Keith,Madyson,42
Cash,Kameron,1026
Cash,Emilia,42
Cash,Perla,54
Cash,Giovanni,121
Hudson,Levi,303
Hudson,Kate,651
Hudson,Lena,26
Hudson,Alexandra,33
Kameron,Cash,913
Kameron,Chase,40
Kameron,Sandra,67
Kameron,Giovanni,121
Ivan,Karla,45
Ivan,Braiden,42
Ivan,Jayda,1096
Ivan,Danny,512
Ivan,Patricia,47
Tristan,Declan,39
Tristan,Uriel,38
Tristan,Kellen,342
Tristan,Alec,1195
Tristan,Ariel,1199
Jaiden,Jeffrey,344
Jaiden,Peyton,803
Jaiden,William,794
Jaiden,Declan,39
Jaiden,Uriel,38
Eliza,Nathaniel,211
Alexander,Dustin,130
Kingston,Nelson,777
Kingston,Jamarion,243
Kingston,Alex,49
Kingston,Grace,212
Kingston,Danika,46
Nelson,Kingston,561
Nelson,Grace,212
Nelson,Danika,46
Brenden,Peyton,803
Brenden,Kolton,527
Brenden,Tiffany,322
Brenden,Kayden,1010
Brenden,Gary,1048
Macy,Natasha,1311
Macy,Luca,456
Macy,Zane,40
Macy,Phoebe,116
Ty,Mario,251
Ty,Miracle,38
Ty,Danny,512
Ty,Parker,44
Ty,Audrey,584
Ty,Skylar,40
Kate,Dayton,322
Kate,Hudson,311
Kate,Lena,26
Kate,Alexandra,33
Davion,Elliot,303
Davion,Beau,1138
Zoey,Chad,1278
Zoey,Bryan,29
Zoey,Kellen,342
Zoey,Giselle,296
Dayton,Kate,651
Dayton,Lucas,151
Levi,Ruben,402
Levi,Hudson,311
Brody,Lily,347
Brody,Brooklynn,1140
Brooklynn,Brody,917
Brooklynn,Lia,25
Brooklynn,Brynn,103
Brooklynn,Lindsey,53
Beau,Davion,963
Beau,Lindsey,53
Beau,Alvin,97
Beau,Juliet,20
Ernesto,Jordan,62
Ernesto,Darren,1904
Ernesto,Kara,32
Ernesto,Kristopher,9
Micah,Khalil,281
Khalil,Micah,614
Khalil,Baylee,154
Khalil,Nasir,1966
Khalil,Valeria,301
Carlos,Julissa,275
Carlos,Addison,148
Addison,Julissa,275
Addison,Carlos,290
Daisy,Cadence,321
Daisy,Davis,224
Daisy,Edgar,114
Daisy,Dillon,311
Dillon,Julissa,275
Dillon,Tori,148
Dillon,Edgar,114
Dillon,Daisy,151
Edgar,Kyler,235
Edgar,Michelle,154
Edgar,Dillon,311
Edgar,Daisy,151
Michelle,Kyler,235
Michelle,Roger,242
Michelle,Edgar,114
Roger,Melanie,163
Roger,Alana,114
Roger,Michelle,154
Alana,Melanie,163
Alana,Roger,242
Kyler,Rihanna,258
Kyler,Melanie,163
Kyler,Michelle,154
Kyler,Edgar,114
Melanie,Rihanna,258
Melanie,Kyler,235
Melanie,Alana,114
Melanie,Roger,242
Davis,Cadence,321
Davis,Rihanna,258
Davis,Caitlin,87
Davis,Daisy,151
Caitlin,Rihanna,258
Caitlin,Davis,224
Caitlin,Stephen,42
Caitlin,Lana,38
Caitlin,Alan,842
Rihanna,Caitlin,87
Rihanna,Davis,224
Rihanna,Melanie,163
Rihanna,Kyler,235
Tori,Julissa,275
Tori,Dillon,311
Julissa,Tori,148
Julissa,Dillon,311
Julissa,Addison,148
Julissa,Carlos,290
Mario,Ty,681
Mario,Danny,512
Mario,Parker,44
Heather,Presley,1454
Presley,Heather,51
Presley,Alex,49
Presley,Carl,246
Presley,Peter,317
Johanna,Jadon,84
Johanna,Rylee,195
Jadon,Ayla,206
Jadon,Johanna,332
Kaylee,Ayla,206
Kaylee,Pablo,129
Ayla,Kaylee,393
Ayla,Jadon,84
Jaime,Melany,1303
Jaime,Damon,40
Jaime,Karla,45
Jayda,Karla,45
Jayda,Braiden,42
Jayda,Ivan,1195
Bridget,Cadence,321
Bridget,Cheyenne,651
Cadence,Bridget,189
Cadence,Davis,224
Cadence,Daisy,151
Aaliyah,Dana,37
Aaliyah,Kamryn,53
Aaliyah,Devin,282
Aaliyah,Emilee,288
Khloe,Ali,268
Khloe,Kimora,313
Brycen,Frank,570
Brycen,Bennett,47
Brycen,Kamryn,53
Brycen,Viviana,308
Audrina,Dean,35
Audrina,Devin,282
Audrina,Nikolas,339
Ruben,Nyla,264
Ruben,Levi,303
Victoria,Shawn,348
Victoria,Madilyn,416
Shawn,Jude,46
Shawn,Victoria,574
Shawn,Desmond,265
Jude,Sarai,577
Jude,Shawn,348
Jude,Desmond,265
Sarai,Wyatt,46
Sarai,Zayden,741
Sarai,Paola,1019
Sarai,Jude,46
Talia,Caiden,74
Talia,Nehemiah,667
Talia,Eduardo,1031
Talia,Breanna,397
Breanna,Nehemiah,667
Breanna,Eduardo,1031
Breanna,Talia,116
Eduardo,Nehemiah,667
Eduardo,Breanna,397
Eduardo,Talia,116
Nehemiah,Caiden,74
Nehemiah,Eduardo,1031
Nehemiah,Breanna,397
Nehemiah,Talia,116
Nikolas,Dean,35
Nikolas,Devin,282
Nikolas,Fiona,39
Nikolas,Leah,117
Nikolas,Audrina,282
Leah,Caiden,74
Leah,Kale,78
Leah,Fiona,39
Leah,Nikolas,339
Fiona,Jimena,59
Fiona,Anastasia,340
Fiona,Leah,117
Fiona,Nikolas,339
Devin,Dana,37
Devin,Kamryn,53
Devin,Dean,35
Devin,Nikolas,339
Devin,Audrina,282
Devin,Aaliyah,312
Dean,Anastasia,340
Dean,Ezra,282
Dean,Devin,282
Dean,Nikolas,339
Dean,Audrina,282
Kamryn,Frank,570
Kamryn,Bennett,47
Kamryn,Dana,37
Kamryn,Devin,282
Kamryn,Brycen,316
Kamryn,Aaliyah,312
Dana,Kenzie,324
Dana,Ezra,282
Dana,Bennett,47
Dana,Kamryn,53
Dana,Devin,282
Dana,Aaliyah,312
Kale,Nicholas,273
Kale,Jimena,59
Kale,Caiden,74
Kale,Leah,117
Caiden,Kale,78
Caiden,Leah,117
Caiden,Nehemiah,667
Caiden,Talia,116
Bennett,Kenzie,324
Bennett,Ezra,282
Bennett,Frank,570
Bennett,Dana,37
Bennett,Kamryn,53
Bennett,Brycen,316
Frank,Meghan,46
Frank,Yahir,52
Frank,Samuel,645
Frank,Bennett,47
Frank,Kamryn,53
Frank,Brycen,316
Ezra,Kenzie,324
Ezra,Anastasia,340
Ezra,Bennett,47
Ezra,Dana,37
Ezra,Dean,35
Anastasia,Jimena,59
Anastasia,Ezra,282
Anastasia,Dean,35
Anastasia,Fiona,39
Jimena,Nicholas,273
Jimena,Anastasia,340
Jimena,Kale,78
Jimena,Fiona,39
Kenzie,Zander,234
Kenzie,Landen,248
Kenzie,Ezra,282
Kenzie,Bennett,47
Kenzie,Dana,37
Nicholas,Nicolas,263
Nicholas,Carter,270
Nicholas,Jimena,59
Nicholas,Kale,78
Ali,Selena,125
Ali,Khloe,405
Nyla,Edward,93
Nyla,Ruben,402
Lily,Anya,53
Lily,Kimberly,44
Lily,Kiana,56
Lily,Brody,917
Elliot,Paige,54
Elliot,Silas,52
Elliot,Kiana,56
Elliot,Davion,963
Carter,Tucker,57
Carter,Emely,574
Carter,Penelope,48
Carter,Nicolas,263
Carter,Nicholas,273
Nicolas,Joseph,59
Nicolas,Xavier,360
Nicolas,Penelope,48
Nicolas,Carter,270
Nicolas,Nicholas,273
Landen,Zander,234
Landen,Kenzie,324
Selena,Seth,29
Selena,Morgan,57
Selena,Trey,38
Selena,Ali,268
Edward,Troy,22
Edward,Nyla,264
Zander,Isaias,44
Zander,Yahir,52
Zander,Emely,574
Zander,Landen,248
Zander,Kenzie,324
Theodore,Kaylin,52
Theodore,Laura,1134
Theodore,Alondra,50
Theodore,Isabella,1193
Theodore,Gracie,1207
Theodore,Santiago,1205
Isabella,Henry,46
Isabella,Braiden,42
Isabella,Alondra,50
Isabella,Theodore,40
Isabella,Gracie,1207
Isabella,Harper,1192
Alondra,Brock,1396
Alondra,Katherine,46
Alondra,Gunner,1190
Alondra,Isabella,1193
Alondra,Theodore,40
Alondra,Gracie,1207
Laura,Kimberly,44
Laura,Kaylin,52
Laura,Theodore,40
Laura,Abraham,1003
Laura,Santiago,1205
Kaylin,Richard,1131
Kaylin,Cheyanne,1080
Kaylin,Katherine,46
Kaylin,Laura,1134
Kaylin,Theodore,40
Kaylin,Santiago,1205
Braiden,Karla,45
Braiden,Henry,46
Braiden,Isabella,1193
Braiden,Jayda,1096
Braiden,Ivan,1195
Braiden,Harper,1192
Henry,Gunner,1190
Henry,Drew,1303
Henry,Damon,40
Henry,Braiden,42
Henry,Isabella,1193
Henry,Harper,1192
Karla,Melany,1303
Karla,Damon,40
Karla,Braiden,42
Karla,Jayda,1096
Karla,Jaime,1112
Karla,Ivan,1195
Troy,Makayla,56
Troy,Trey,38
Troy,Holly,26
Troy,Edward,93
Kiana,Paige,54
Kiana,Silas,52
Kiana,Anya,53
Kiana,Kimberly,44
Kiana,Elliot,303
Kiana,Lily,347
Kimberly,Anya,53
Kimberly,Kiana,56
Kimberly,Laura,1134
Kimberly,Lily,347
Kimberly,Abraham,1003
Anya,Mia,1705
Anya,Annie,53
Anya,Martin,46
Anya,Kimberly,44
Anya,Kiana,56
Anya,Lily,347
Joe,Erick,474
Joe,Aileen,51
Joe,Ariana,402
Joe,Silas,52
Joe,Annabelle,403
Joe,Weston,819
Annabelle,River,414
Annabelle,Silas,52
Annabelle,Joe,54
Annabelle,Weston,819
Silas,Paige,54
Silas,Annabelle,403
Silas,Joe,54
Silas,Kiana,56
Silas,Elliot,303
Silas,Weston,819
Paola,Wyatt,46
Paola,Zayden,741
Paola,Walker,40
Paola,Elle,273
Paola,Sarai,577
Elle,Sean,649
Elle,Walker,40
Elle,Paola,1019
Walker,Emma,1025
Walker,Steven,267
Walker,Isaac,1985
Walker,Elle,273
Walker,Paola,1019
Paige,Hazel,2552
Paige,Aileen,51
Paige,Annie,53
Paige,Silas,52
Paige,Kiana,56
Paige,Elliot,303
River,Melissa,119
River,Annabelle,403
Melissa,Holly,26
Melissa,River,414
Zayden,Josiah,40
Zayden,Jalen,385
Zayden,Wyatt,46
Zayden,Paola,1019
Zayden,Sarai,577
Wyatt,Roman,1541
Wyatt,Roberto,742
Wyatt,Emma,1025
Wyatt,Zayden,741
Wyatt,Paola,1019
Wyatt,Sarai,577
Holly,Makayla,56
Holly,Trey,38
Holly,Melissa,119
Holly,Troy,22
Trey,Seth,29
Trey,Morgan,57
Trey,Makayla,56
Trey,Holly,26
Trey,Troy,22
Trey,Selena,125
Makayla,Hayden,73
Makayla,Taryn,41
Makayla,Kaelyn,22
Makayla,Trey,38
Makayla,Holly,26
Makayla,Troy,22
Jalen,Kristen,362
Jalen,Josiah,40
Jalen,Zayden,741
Josiah,Owen,385
Josiah,Roberto,742
Josiah,Braxton,1014
Josiah,Jalen,385
Josiah,Zayden,741
Morgan,Mariah,425
Morgan,Taryn,41
Morgan,Adeline,373
Morgan,Seth,29
Morgan,Trey,38
Morgan,Selena,125
Seth,Kristen,362
Seth,Morgan,57
Seth,Trey,38
Seth,Selena,125
Kristen,Seth,29
Kristen,Jalen,385
Sean,Russell,37
Sean,Samuel,645
Sean,Elle,273
Damon,Gunner,1190
Damon,Drew,1303
Damon,Melany,1303
Damon,Karla,45
Damon,Henry,46
Damon,Jaime,1112
Melany,Damon,40
Melany,Karla,45
Melany,Jaime,1112
Drew,Gunner,1190
Drew,Damon,40
Drew,Henry,46
Gunner,Brock,1396
Gunner,Katherine,46
Gunner,Drew,1303
Gunner,Damon,40
Gunner,Henry,46
Gunner,Alondra,50
Katherine,Richard,1131
Katherine,Cheyanne,1080
Katherine,Brock,1396
Katherine,Gunner,1190
Katherine,Kaylin,52
Katherine,Alondra,50
Brock,Katherine,46
Brock,Gunner,1190
Brock,Alondra,50
Cheyanne,Erik,194
Cheyanne,Jose,1202
Cheyanne,Richard,1131
Cheyanne,Katherine,46
Cheyanne,Kaylin,52
Richard,Kelsey,903
Richard,Martin,46
Richard,Cheyanne,1080
Richard,Katherine,46
Richard,Kaylin,52
Isaac,Emma,1025
Isaac,Steven,267
Isaac,Walker,40
Steven,Mariana,652
Steven,Emma,1025
Steven,Isaac,1985
Steven,Walker,40
Emma,Roman,1541
Emma,Roberto,742
Emma,Steven,267
Emma,Isaac,1985
Emma,Wyatt,46
Emma,Walker,40
Mariana,Dalton,644
Mariana,Brodie,2799
Mariana,Russell,37
Mariana,Steven,267
Braxton,Jasmine,45
Braxton,Alberto,1622
Braxton,Mariah,425
Braxton,Owen,385
Braxton,Roberto,742
Braxton,Josiah,40
Roberto,Roman,1541
Roberto,Owen,385
Roberto,Braxton,1014
Roberto,Emma,1025
Roberto,Josiah,40
Roberto,Wyatt,46
Owen,Adeline,373
Owen,Roberto,742
Owen,Braxton,1014
Owen,Josiah,40
Martin,Mia,1705
Martin,Annie,53
Martin,Kelsey,903
Martin,Richard,1131
Martin,Anya,53
Kelsey,Serenity,241
Kelsey,Jose,1202
Kelsey,Martin,46
Kelsey,Richard,1131
Annie,Hazel,2552
Annie,Aileen,51
Annie,Mia,1705
Annie,Martin,46
Annie,Paige,54
Annie,Anya,53
Mia,Annie,53
Mia,Martin,46
Mia,Anya,53
Ariana,Erick,474
Ariana,Aileen,51
Ariana,Emmanuel,552
Ariana,Joe,54
Emmanuel,Kaelyn,22
Emmanuel,Ariana,402
Adeline,Mariah,425
Adeline,Taryn,41
Adeline,Owen,385
Adeline,Morgan,57
Aileen,Hazel,2552
Aileen,Erick,474
Aileen,Ariana,402
Aileen,Annie,53
Aileen,Paige,54
Aileen,Joe,54
Erick,Ashlyn,291
Erick,Brayden,1070
Erick,Aileen,51
Erick,Ariana,402
Erick,Joe,54
Roman,Roberto,742
Roman,Emma,1025
Roman,Wyatt,46
Hazel,Aileen,51
Hazel,Annie,53
Hazel,Paige,54
Kaelyn,Hayden,73
Kaelyn,Taryn,41
Kaelyn,Emmanuel,552
Kaelyn,Makayla,56
Taryn,Mariah,425
Taryn,Hayden,73
Taryn,Kaelyn,22
Taryn,Adeline,373
Taryn,Morgan,57
Taryn,Makayla,56
Hayden,Brenna,360
Hayden,Taryn,41
Hayden,Kaelyn,22
Hayden,Makayla,56
Mariah,Jasmine,45
Mariah,Alberto,1622
Mariah,Taryn,41
Mariah,Adeline,373
Mariah,Braxton,1014
Mariah,Morgan,57
Penelope,Joseph,59
Penelope,Xavier,360
Penelope,Tucker,57
Penelope,Emely,574
Penelope,Nicolas,263
Penelope,Carter,270
Emely,Isaias,44
Emely,Yahir,52
Emely,Tucker,57
Emely,Penelope,48
Emely,Zander,234
Emely,Carter,270
Tucker,Cameron,298
Tucker,Evelyn,593
Tucker,Joseph,59
Tucker,Emely,574
Tucker,Penelope,48
Tucker,Carter,270
Xavier,Cody,385
